,BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
4560,21-151213,Cté d'Agglomération du Pays de Vannes,None,,,FRH04,,56006,VANNES,,,,,commandepublique@gmvagglo.bzh,http://golfedumorbihan-vannesagglomeration.bzh,https://marches.megalis.bretagne.bzh,,,,,False,True,,False,True
4561,21-151214,DEPARTEMENT DU CALVADOS,None, Mathilde PLANTEGENET,,,Direction achats publicsPôle procédures5 place F EbouéBP 20520,14035,Caen cedex 1,,(+33) 2-31-57-10-38,,(+33) 2-31-57-10-07,mathilde.plantegenet@calvados.fr,https://www.calvados.fr,https://www.marches-securises.fr,,,,,False,False,,False,False
4562,21-151215,CHR METZ THIONVILLE,None,,,FRF3,1 Allée du Château,57085,Metz cedex 3,,(+33) 3-87-55-79-86,,,dmip@chr-metz-thionville.fr,http://www.chr-metz-thionville.fr,,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=859012&orgAcronyme=x7c,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=859012&orgAcronyme=x7c,,False,True,,False,True
4563,21-151216,ESID de Metz,None,M. LAMIOT Jean-Jacques,,,Quartier ruty - 64 rue bersot,25027,Besançon cedex 01,,03-81-87-20-82,,03-81-87-26-91,,,http://Marches-publics.gouv.fr,,,,,False,False,,False,False
4564,21-151217,CHU AMIENS PICARDIE,None,,,FRE23,Place Victor Pauchet,80054,Amiens cedex 1,,,,,direction.achats-ght@chu-amiens.fr,http://marches-publics.gouv.fr/,,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=855910&orgAcronyme=x7c,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=679734&orgAcronyme=x7c,,False,True,,False,True
4565,21-151219,SITRU,25780065600023,,"Eric Dumoulin, Président du SITRU",FR103,2 rue de l'union,78420,Carrières-sur-Seine,,(+33) 1-39-15-88-74,,,contact@sitru.fr,https://www.sitru.fr,https://www.achatpublic.com,,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_jNct2DKE18,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_jNct2DKE18,,False,True,,False,True
4566,21-151220,Département des Pyrénées-Atlantiques,None,,,FRI15,19 Avenue d'Errépira,64500,Ciboure,,(+33) 5-59-47-75-52,,,marchesportspourcontactsexterieurs@le64.fr,http://www.le64.fr,http://eadministration.lafibre64.fr,,,,,False,True,,False,True
4567,21-151221,Ville de Grande-Synthe,None, Monsieur le Maire,,,Place François Mitterrand,59760,Grande-Synthe,,(+33) 3-28-62-77-00,,(+33) 3-28-62-77-12,marches.publics@ville-grande-synthe.fr,http://www.ville-grande-synthe.fr,http://www.marches-securises.fr,,,,,False,False,,False,False
4568,21-151222,Commune de Sevran,None,M. Le Maire de sevran,,,28 avenue du Général Leclerc,93270,Sevran,,01-49-36-52-34,,,grp_marches_publics@ville-sevran.fr,http://www.ville-sevran.fr,http://marches.maximilien.fr,,,,,False,False,,False,False
4569,21-151223,CC Monts du Lyonnais,None, CHAMBE Régis - Président,,,790 Allée de Pluvy,69590,POMEYS,,04-78-19-08-55,,,achats-publics@cc-mdl.fr,https://cc-montsdulyonnais.fr/,http://cc-montsdulyonnais.sudest-marchespublics.com,,,,,False,False,,False,False
4570,21-151224,Chartres Métropole,20003318100013,,Service marchés publics,FRB02,Place des Halles,28019,Chartres cédex,,(+33) 2-37-23-40-64,,,marches.publics@agglo-ville.chartres.fr,http://www.chartres-metropole.fr/,https://www.c-chartres-marches.fr,,https://www.c-chartres-marches.fr/,https://www.c-chartres-marches.fr/,,False,True,,False,True
4571,21-151225,COMMUNE DE GRAVELINES,None,M.le Maire,,,"1, rue des Clarisses",59820,Gravelines,,,,,,,http://marches-securises.fr,,,,,False,False,,False,False
4572,21-151226,Université Paris 1 - Panthéon Sorbonne,None,,Caroline DIOT / DAFB - Pôle achats,FR101,12 Place du Panthéon,75231,Paris cedex 05,,(+33) 1-44-07-78-78,,(+33) 1-44-07-76-95,marches@univ-paris1.fr,http://www.univ-paris1.fr,http://www.marches-publics.gouv.fr,,https://www.marches-publics.gouv.fr/,https://www.marches-publics.gouv.fr/index.php?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=700467&orgAcronyme=f2h,,False,True,,False,True
4573,21-151228,CA DE HAGUENAU,None,,,FRF11,"C.A.I.R.E.  84, route de Strasbourg  B.P. 50244",67504,Haguenau,,(+33) 3-88-90-67-88,,,commande.publique@agglo-haguenau.fr,https://www.agglo-haguenau.fr/marches-publics/,https://alsacemarchespublics.eu/?page=entreprise.EntrepriseAdvancedSearch&AllCons&id=528901&orgAcronyme=a2a,,https://alsacemarchespublics.eu/?page=entreprise.EntrepriseAdvancedSearch&AllCons&id=528901&orgAcronyme=a2a,https://alsacemarchespublics.eu/?page=entreprise.EntrepriseAdvancedSearch&AllCons&id=528901&orgAcronyme=a2a,,False,True,,False,True
4574,21-151229,Clermont Auvergne Métropole,None,,,FRK14,64-66 Avenue de l'Union Soviétique 1,63007,CLERMONT-FERRAND,,(+33) 4-73-98-34-00,,(+33) 4-73-98-36-25,service-commande-publique@clermontmetropole.eu,http://clermontmetropole.eu,http://www.marches-securises.fr,,,,,False,True,,False,True
4575,21-151231,SDIS 52,None, Monsieur Nicolas LACROIX,,,29 rue du Vieux Moulin - BP576,52012,CHAUMONT CEDEX,,,,,sdis52@sdis52.fr,https://www.xmarches.fr,https://www.xmarches.fr,,,,,False,False,,False,False
4576,21-151232,CHARTRES METROPOLE TRAITEMENT VALORISA,None, Louis SEMBLAT,,,Hôtel de villePlace des Halles,28000,Chartres,,(+33) 2-37-36-98-27,,,marches_publics@cm-tv.fr,,https://www.marches-securises.fr,,,,,False,False,,False,False
4577,21-151234,CH REG ET UNVT DE BREST,None,,,FRH02,2 avenue Foch,29609,Brest cedex,,(+33) 2-98-22-33-55,,,cellule.marches@chu-brest.fr,https://www.chu-brest.fr/,https://www.marches-publics.gouv.fr/?page=entreprise.AccueilEntreprise,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=828466&orgAcronyme=x7c,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=828466&orgAcronyme=x7c,,False,True,,False,True
4578,21-151235,EPTB Seine Grands Lacs,None,,,FR101,12 rue villiot,75012,Paris,,(+33) 1-44-75-29-29,,,marches@seinegrandslacs.fr,http://www.seinegrandslacs.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_trAd8VA01a,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_trAd8VA01a,,False,True,,False,True
4579,21-151236,Cté. d'Agglo. du Soissonnais,None,M. CRÉMONT Alain,,,"11, avenue 11 Avenue François Mitterrand - Les Terrasses du Mail",02880,Cuffies,,(+33) 3-23-53-88-40,,(+33) 3-23-53-88-41,marches.publics@agglo-soissonnais.com,http://agglo.grandsoissons.com/accueil-3.html,https://www.proxilegales.fr:443/19120,,,,,False,False,,False,False
4580,21-151237,SEPD,None," PUISSESSEAU Jean Marc, PDG",,,24 boulevard des Alliés,62100,Calais,,03-21-99-62-58,,,marie.sumera@portboulognecalais.fr,https://www.portboulognecalais.fr,https://agysoft.marches-publics.info,,,,,False,False,,False,False
4581,21-151238,Sète agglopôle Méditerrannée,21340301700014,,,FRJ13,"Sète Agglopôle Méditerranée, Direction Commande Publique Mutualisée, 4, avenue d'aigues",34110,Frontignan,,,,(+33) 4-67-46-47-65,correspondre@aws-france.com,http://www.sete.fr/,http://www.agglopole.fr/,,http://www.agglopole.fr/,http://www.agglopole.fr/,,False,True,,False,True
4582,21-151240,SYTRAL,None," BERNARD Bruno, Président",,,"21 Boulevard Vivier Merle, CS 63815",69487,Lyon,,04-72-84-58-00,,04-78-53-12-84,unitemarches@sytral.fr,http://www.sytral.fr,https://www.marches-publics.info,,,,,False,False,,False,False
4583,21-151241,Ville de L'Isle-Adam,None," PONIATOWSKI Sébastien, Maire",,,45 Grande Rue,95290,L'Isle-Adam,,01-34-08-19-55,,,s.lacombe@ville-isle-adam.fr,http://www.ville-isle-adam.fr/,https://www.marches-publics.info,,,,,False,False,,False,False
4584,21-151242,COMMUNE DE BOULOGNE SUR MER,None," CUVILLIER Frédéric, Maire",,,place Godefroy de Bouillon BP 729,62321,BOULOGNE SUR MER,,03-21-87-80-80,,03-21-87-80-99,correspondre@aws-france.com,https://www.ville-boulogne-sur-mer.fr/,https://www.ville-boulogne-sur-mer.fr/marches-publics,,,,,False,False,,False,False
4585,21-151243,COMMUNE DE LIMOGES,None," LOMBERTIE Emile Roger, Maire",,,9 place Léon Betoulle,87031,LIMOGES CEDEX 1,,05-55-45-93-85,,05-55-45-93-35,correspondre@aws-france.com,http://www.ville-limoges.fr/,http://marchespublics.limoges.fr,,,,,False,False,,False,False
4586,21-151244,Pôle emploi PACA,None,,,FRL0,34 rue Alfred Curtel - CS 80149,13395,Marseille,,,,,drmarches.13992@pole-emploi.fr,https://www.marches-publics.gouv.fr,https://www.marches-publics.gouv.fr,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=855652&orgAcronyme=h8j,https://www.marches-publics.gouv.fr,,False,True,,False,True
4587,21-151245,Département de la Drôme,None," Conseil départemental de la Drôme, représenté par sa Présidente, Mme Marie-Pierre Mouton",,,"DAJA - Service Achats, 26 avenue du Président Herriot, code service exécutant : 188",26026,Valence,,,,,consultations-achats@ladrome.fr,http://www.ladrome.fr,http://www.ladrome.fr,,,,,False,False,,False,False
4588,21-151246,COMMUNE DE KOUROU,None,Service de la commande publique,,,30 avenue des Roches,97310,Kourou,GF,05-94-22-31-88,,,lysandra.rima@ville-kourou.fr,http://kourou.synapse-entreprises.com,http://kourou.synapse-entreprises.com,,,,,False,False,,False,False
4589,21-151247,CA PAU BEARN PYRENEES,None," BAYROU FRANCOIS, PRESIDENT",,,"HOTEL DE FRANCE, 2B PLACE ROYALE, CS90547",64000,PAU CEDEX,,05-64-64-10-74,,,correspondre@aws-france.com,https://www.agglo-pau.fr,http://www.agglo-pau.fr/marches-publics.html,,,,,False,False,,False,False
4590,21-151248,COLLECTIVITE TERRITORIALE DE GUYANE,None," SERVILLE Gabriel, Président",,,"Hôtel de la Collectivité Territoriale de Guyane, Carrefour de Suzini, CS 47025",97307,CAYENNE,,05-94-30-06-00,,05-94-31-95-22,correspondre@aws-france.com,https://www.ctguyane.fr/,http://agysoft.marches-publics.info/,,,,,False,False,,False,False
4591,21-151249,S.I.A.Z.I.M.,None,Mme la Présidente,,,Mairie de Biarritz - Avenue Edouard VII - B.P. 58,64202,Biarritz Cedex,,05-59-41-39-69,,,marche@biarritz.fr,http://www.ville.biarritz.fr,http://www.demat-ampa.fr,,,,,False,False,,False,False
4592,21-151250,Ville de Maurepas,None,"Mlle Adjeroun Hafida, Responsable de la commande publique",,,2 Place d'Auxois,78310,Maurepas,,01-30-66-54-13,,,commandepublique@maurepas.fr,http://www.maurepas.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
4593,21-151251,COMMUNE DE VAULX EN VELIN,21690256900013,,,FRK26,"Place de la Nation, Cs40002",69518,Vaulx en Velin cedex,,,,,correspondre@aws-france.com,http://www.vaulx-en-velin.net/,https://www.marches-publics.info/,,,,,False,True,,False,True
4594,21-151252,CAISSE DES DEPOTS,18002002600019,,,FR101,56 rue de Lille,75007,Paris,,,,,correspondre@aws-france.com,http://www.caissedesdepots.fr,https://caissedesdepots.marches-publics.info,,,,,False,True,,False,True
4595,21-151253,Commune de Tremblay-en-France,None,"M. Asensi François, Maire",,,18 boulevard de l'Hôtel de Ville,93290,Tremblay-en-france,,01-49-63-71-06,,01-49-63-69-49,achats.marches@tremblayenfrance.fr,http://www.tremblay-en-france.fr,https://tremblay-en-france.achatpublic.com,,,,,False,False,,False,False
4596,21-151254,Communaute d'Agglo du Beauvaisis,20006799900017,,,FRE22,48 rue Desgroux,60000,Beauvais,,(+33) 3-44-15-68-00,,(+33) 3-44-15-68-01,marchespublics@beauvaisis.fr,http://www.beauvaisis.fr/,http://mp.beauvaisis.fr,,,,,False,True,,False,True
4597,21-151255,CONSEIL REGIONAL HAUTS DE FRANCE,20005374200017,,,FRE11,"151, avenue du Président Hoover",59555,Lille,,,,,correspondre@aws-france.com,https://www.hautsdefrance.fr/marches-publics-appels-d-offres/,https://agysoft.marches-publics.info,,,,,False,True,,False,True
4598,21-151256,COMMUNAUTE DE COMMUNES SUD ROUSSILLON,24660028200114,,,FRJ15,"16 rue Jean & Jérôme Tharaud, Cs 50034",66751,Saint-Cyprien Cedex,,(+33) 4-68-37-30-64,,,correspondre@aws-france.com,http://www.sudroussillon.fr/,https://sudroussillon.marches-publics.info/,,,,,False,True,,False,True
4599,21-151257,GRAND ORB COM DE COMMUNES EN LANGUEDOC,None," MATHIEU Pierre, Président",,,6 ter Rue René Cassin,34600,BEDARIEUX,,04-67-23-54-18,,,correspondre@aws-france.com,https://www.grandorb.fr,http://agysoft.marches-publics.info/,,,,,False,False,,False,False
4600,21-151259,COMMUNE DE EVRY COURCOURONNES,20008352500010,,,FR104,"Place des Droits de l'Homme, et du Citoyen",91000,Evry-Courcouronnes,,(+33) 1-60-91-62-59,,,marches-publics@evrycourcouronnes.fr,https://evrycourcouronnes.fr,https://www.marches-publics.info,,,,,False,True,,False,True
4601,21-151260,Ville de Loches,None, Monsieur le Maire,,,BP 231,37602,Loches cedex,,02-47-91-19-71,,,marchespublics@mairieloches.com,https://ville-loches.fr,https://ville-loches.e-marchespublics.com,,,,,False,False,,False,False
4602,21-151261,CRA OCCITANIE,13002160300019,,,FRJ23,Chemin De Borde Rouge,31321,Castanet Tolosan Cedex,,(+33) 5-61-75-26-22,,,francoise.negrier@occitanie.chambagri.fr,http://www.occitanie.chambagri.fr,http://www.ladepeche-marchespublics.fr,,http://www.ladepeche-marchespublics.fr,http://www.ladepeche-marchespublics.fr,,False,True,,False,True
4603,21-151262,Commune de l'Etrat,None, Monsieur Le Maire,,,175 RUE DE VERDUN BP 7,42580,L'ETRAT,,04-77-91-31-31,,,etrat.mairie@orange.fr,https://www.ville-letrat.fr,http://www.loire.fr/e-marchespublics,,,,,False,False,,False,False
4604,21-151263,Institution des Wateringues,None, BUTIN Tony,,,7 rue du colonel Doyen BP 40373,62505,saint-omer cedex,,03-21-38-20-56,,03-21-38-12-60,tony.butin@institution-wateringues.fr,,http://institution-wateringues.e-marchespublics.com,,,,,False,False,,False,False
4605,21-151264,COMMUNE DE SAINT FRANCOIS,None,,,FRY10,Place de l'église,97118,Saint-françois,GP,,,,cpublique@ville-saintfrancois.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_goHDHkSXqz,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_goHDHkSXqz,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_goHDHkSXqz,False,True,,False,True
4606,21-151265,Mairie de Bidart,None," ALZURI Emmanuel, Maire",,,Place Sauveur Atchoarena,64210,BIDART,,,,,correspondre@aws-france.com,http://www.bidart.fr/,http://www.eadministration64.fr/,,,,,False,False,,False,False
4607,21-151266,COMMUNE DE CESSON SEVIGNE,None,Mme Renoux Louise,,,"1, Esplanade de l'Hôtel de Ville",35510,Cesson-sévigné,,,,,,https://www.ville-cesson-sevigne.fr/,https://marches.megalis.bretagne.bzh/?page=Entreprise.EntrepriseAdvancedSearch&AllCons&id=155096&orgAcronyme=a4j,,,,,False,False,,False,False
4608,21-151267,GHU AP-HP.CENTRE - UNIVERSITE DE PARIS,None,"Mme LEBOUVIER Frédérique, Acheteur",Cellule des Marchés du GHU APHP. Centre - Site Cochin 123 boulevard du Port-Royal - 75014 Paris,,123 boulevard du Pot-Royal,75015,Paris,,01-58-41-33-48,,,frederique.lebouvier@aphp.fr,http://www.aphp.fr,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
4609,21-151268,MINDEF/SGA/DCSID/ESID.TOULON,None," Général de 2ème classe L'ingénieur, Directeur de l'établissement du service d'infrastructure de la défense de Toulon",,,BCRM TOULON - ESID TLN - Boîte postale no 71,83800,Toulon cedex 9,,04-22-43-63-62,,04-22-43-44-09,esid-toulon.sai.secretaire.fct@intradef.gouv.fr,,https://www.marchespublics.gouv.fr,,,,,False,False,,False,False
4610,21-151270,Ville de Mâcon,None,,,FRC13,Hôtel de Ville - Quai Lamartine,71018,Macon cedex,,,,,concessionsmp@ville-macon.fr,http://www.macon.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,True,,False,True
4611,21-151271,Com d'Agglomération du Val de FENSCH,None,,,FRF33,10 rue de Wendel,57705,HAYANGE,,(+33) 3-82-86-81-81,,,commande.publique@agglo-valdefensch.fr,http://agglo-valdefensch.fr,http://www.marchespublics-matec57.fr,,http://www.marchespublics-matec57.fr,http://www.marchespublics-matec57.fr,,False,True,,False,True
4612,21-151273,SOC DE LIVRAISON OUVRAGES OLYMPIQUES,None,,,FR101,18 rue de Londres,75009,Paris,,,,,marches.publics@ouvrages-olympiques.fr,https://www.ouvrages-olympiques.fr/,,,,,,False,True,,False,True
4613,21-151274,Ville de La Chapelle Saint Luc,None," Girardin Olivier, Maire",,,Rue Maréchal Leclerc,10602,LA CHAPELLE SAINT-LUC CEDEX,,(+33) 3-25-71-34-34,,(+33) 3-25-45-71-30,marches@la-chapelle-st-luc.eu,http://www.ville-la-chapelle-st-luc.fr,http://www.xmarches.fr,,,,,False,False,,False,False
4614,21-151275,COM DE COMMUNES DE MILLAU GDS CAUSSES,None,,Service commande publique,FRJ22,1 place du beffroi CS80432,12104,Millau cedex,,(+33) 5-65-61-40-20,,,commande-publique@cc-millaugrandscausses.fr,http://www.cc-millaugrandscausses.fr,http://www.e-occitanie.fr,,http://www.e-occitanie.fr,http://www.e-occitanie.fr,,False,True,,False,True
4615,21-151276,SOC DE LIVRAISON OUVRAGES OLYMPIQUES,83455372900023,,,FR101,18 rue de Londres,75009,Paris,,,,,marches.publics@ouvrages-olympiques.fr,https://www.ouvrages-olympiques.fr,https://marches.maximilien.fr,,,,,False,True,,False,True
4616,21-151277,COMMUNE DE MAISONS LAFFITTE,None,"Mme GRAFF Thérèse, ville de Maisons-Laffitte",,,"48, avenue de Longueil",78600,Maisons laffitte,,01-34-93-12-43,,,achats@maisonslaffitte.fr,http://www.maisonslaffitte.fr,http://www.maximilien.fr/,,,,,False,False,,False,False
4617,21-151278,CHU DUPUYTREN,None, Cellule de la Commande publique,,,2 avenue Martin Luther King,87042,Limoges cedex,,,,05-55-05-60-87,,http://chu-limoges.fr,,,,,,False,False,,False,False
4618,21-151280,C.R.O.U.S. de Nancy - Metz,None,,,FRF31,75 rue de Laxou,54042,Nancy cedex,,(+33) 3-83-91-89-10,,,achat@crous-lorraine.fr,http://www.crous-lorraine.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,True,,False,True
4619,21-151281,Centre Hospitalier le Vinatier,None,"M. MICHEL MELIE, CENTRE HOSPITALIER VINATIER",,,95 BOULEVARD VINATIER,69500,Bron,,04-81-92-58-16,,,,,,,,,,False,False,,False,False
4620,21-151283,Syndicat tri action,None,,,FR108,ROUTE DE PIERRELAYE,95550,Bessancourt,,,,,l.mallard@syndicat-tri-action.fr,https://syndicat-tri-action.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_zfTL_1zZfp,https://www.achatpublic.com,,False,True,,False,True
4621,21-151284,Commission de régulation de l'énergie,None,"M. COLLET Charlotte, Commission de régulation de l'énergie",,,15 Rue Pasquier,75008,Paris,,01-44-50-42-77,,,mp@cre.fr,http://www.cre.fr/marches-publics,https://www.marches-publics.gouv.fr/,,,,,False,False,,False,False
4622,21-151285,Ville de Meyrargues,None, DELWAULLE M.,,,Hôtel de Ville - avenue d'Albertas,13650,Meyrargues,,04-42-57-50-09,,04-42-57-50-09,ecdelwaulle@meyrargues.fr,,,,,,,False,False,,False,False
4623,21-151287,Ville de Paris,None,"Mme Boisseau Céline, Ville de Paris - Direction de l'Urbanisme",,,"121, avenue de France CS 51388",75639,Paris cedex 13,,,,,,,,,,,,False,False,,False,False
4624,21-151288,GRPT HOSPITALIER PORTES DE PROVENCE,None,"M. CHANEAC VERONIQUE, GRPT HOSPITALIER PORTES DE PROVENCE",,,QUARTIER BEAUSSERET,26216,Montelimar cedex,,04-75-53-44-15,,,,https://www.marches-publics.gouv.fr,,,,,,False,False,,False,False
4625,21-151289,Ville de Ternay,None, GERVAIS Laurence,,,Grande Rue,69360,TERNAY,,04-72-49-81-81,,04-72-49-81-97,mairie@ternay.fr,http://ternay.e-marchespublics.com,http://ternay.e-marchespublics.com,,,,,False,False,,False,False
4626,21-151290,CHU DE POITIERS,None,"Mme DA SILVA Severine, CHU de Poitiers",,,2 rue de la milétrie CS 90577,86021,Poitiers cedex,,,,,,http://chu-poitiers.fr,,,,,,False,False,,False,False
4627,21-151291,Ville de Paris,None,,,FR101,7 avenue de la Porte d'Ivry,75013,Paris,,,,,isabelle.neto@paris.fr,https://www.paris.fr,https://marches.maximilien.fr,,,,,False,True,,False,True
4628,21-151292,COMMUNAUTE COM VALLEE OISE 3 FORETS,None,,,FR108,78 Rue Pierre Brossolette,95590,PRESLES,,,,,i.guillaume@ccvo3f.fr,http://www.ccvo3f.fr,https://www.marches-securises.fr,,https://www.marches-securises.fr,https://www.marches-securises.fr,,False,True,,False,True
4629,21-151293,DEPARTEMENT DE LA CORREZE,None, MARCHES Mme le chef de service,,,Hôtel du Département Marbot 9 rue René et Émile Fage - bp 199 - Service Aff. juridiques et achats,19005,Tulle cedex,,05-55-93-74-76,,,marches@correze.fr,http://www.correze.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
4630,21-151294,CHU AMIENS PICARDIE,None,,,FRE23,"1, Place Victor Pauchet",80054,Amiens cedex 1,,,,,direction.achats-ght@chu-amiens.fr,https://Marches-publics.gouv.fr,,,,,,False,True,,False,True
